dataset,replicate,seed,method,round,epsilon,metric_name,metric_value
femnist,8,108,stable-local-fallback,30,3.0456862121625807,user_macro_accuracy,0.10015625
femnist,8,108,stable-local-fallback,40,3.5289407275705784,user_macro_accuracy,0.10921875
femnist,8,108,stable-local-fallback,50,4.0,user_macro_accuracy,0.0965625
femnist,8,108,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.09578125
femnist,8,108,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.08078125
femnist,8,108,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.11390625
femnist,8,108,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.116875
femnist,8,108,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.15046875
femnist,8,108,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.1140625
femnist,9,109,handle-only-drop-residual,0,0.0,user_macro_accuracy,0.09578125
femnist,9,109,handle-only-drop-residual,10,1.7096469091901927,user_macro_accuracy,0.11296875
femnist,9,109,handle-only-drop-residual,20,2.456862121625803,user_macro_accuracy,0.16171875
femnist,9,109,handle-only-drop-residual,30,3.0456862121625807,user_macro_accuracy,0.18125
femnist,9,109,handle-only-drop-residual,40,3.5289407275705784,user_macro_accuracy,0.10515625
femnist,9,109,handle-only-drop-residual,50,4.0,user_macro_accuracy,0.13796875
femnist,9,109,unitscope-lambda-sweep,0,0.0,user_macro_accuracy,0.09578125
femnist,9,109,unitscope-lambda-sweep,10,1.7096469091901927,user_macro_accuracy,0.1125
femnist,9,109,unitscope-lambda-sweep,20,2.456862121625803,user_macro_accuracy,0.16046875
femnist,9,109,unitscope-lambda-sweep,30,3.0456862121625807,user_macro_accuracy,0.17421875
femnist,9,109,unitscope-lambda-sweep,40,3.5289407275705784,user_macro_accuracy,0.1003125
femnist,9,109,unitscope-lambda-sweep,50,4.0,user_macro_accuracy,0.13203125
femnist,9,109,stable-local-fallback,0,0.0,user_macro_accuracy,0.09578125
femnist,9,109,stable-local-fallback,10,1.7096469091901927,user_macro_accuracy,0.1084375
