seed,epsilon,route,reference_person_count,deterministic_count,deterministic_count_bias,deterministic_relative_bias,sensitivity,standard_laplace,noise,release,error,signed_relative_error,squared_error,absolute_relative_error
43009,16.0,unitscope,1825,1825,0,0.0,1.0,1.2877301108266985,0.08048313192666866,1825.0804831319267,0.0804831319267123,4.410034626121222e-05,0.006477534524732577,4.410034626121222e-05
43009,16.0,naive-2c,1825,1825,0,0.0,2.0,1.2877301108266985,0.16096626385333732,1825.1609662638534,0.1609662638534246,8.820069252242445e-05,0.025910138098930308,8.820069252242445e-05
43010,1.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-0.9572074540771958,-0.9572074540771958,1001.0427925459228,-823.9572074540772,-0.45148340134469983,678905.4797155212,0.45148340134469983
43010,1.0,unitscope,1825,1825,0,0.0,1.0,-0.9572074540771958,-0.9572074540771958,1824.0427925459228,-0.9572074540772064,-0.0005244972351107981,0.9162461101409672,0.0005244972351107981
43010,1.0,naive-2c,1825,1825,0,0.0,2.0,-0.9572074540771958,-1.9144149081543915,1823.0855850918456,-1.9144149081544128,-0.0010489944702215962,3.664984440563869,0.0010489944702215962
43010,4.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-0.9572074540771958,-0.23930186351929894,1001.7606981364808,-823.2393018635192,-0.4510900284183667,677722.9481327345,0.4510900284183667
43010,4.0,unitscope,1825,1825,0,0.0,1.0,-0.9572074540771958,-0.23930186351929894,1824.7606981364806,-0.23930186351935845,-0.00013112430877773067,0.05726538188383766,0.00013112430877773067
43010,4.0,naive-2c,1825,1825,0,0.0,2.0,-0.9572074540771958,-0.4786037270385979,1824.5213962729615,-0.4786037270384895,-0.0002622486175553367,0.22906152753513298,0.0002622486175553367
43010,16.0,handle-only,1825,1002,-823,-0.45095890410958905,1.0,-0.9572074540771958,-0.059825465879824735,1001.9401745341202,-823.0598254658798,-0.45099168518678345,677427.4762959246,0.45099168518678345
43010,16.0,unitscope,1825,1825,0,0.0,1.0,-0.9572074540771958,-0.059825465879824735,1824.9401745341202,-0.05982546587983961,-3.2781077194432666e-05,0.0035790863677398537,3.2781077194432666e-05
43010,16.0,naive-2c,1825,1825,0,0.0,2.0,-0.9572074540771958,-0.11965093175964947,1824.8803490682403,-0.11965093175967922,-6.556215438886533e-05,0.014316345470959415,6.556215438886533e-05
