method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,mixed_local_slots,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,partial_handle_units,local_atom_units,local_mixed_units,active_units,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse,reported_method,gate_lambda,cell_hash
stable-local-fallback,this-work,user-certified,primary,600,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1759,1759,1.0,2.9901806276295155,0.03019230003701523,0.0006170552936176879,0.0006240623474648951,stable-local-fallback,0.0,d420d5d3cbb04144e59da7110c56e41c1ead035f7e094de5d056e3180d2376b7
unitscope-tuned,this-work,user-certified,primary,600,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37436043206367253,0.6256395679363275,1317,0,1544,2861,1.0,4.581964886696004,0.04054399998858571,0.0004203272094741093,0.0004421571796323817,ungated-unitscope-lambda075,0.75,d420d5d3cbb04144e59da7110c56e41c1ead035f7e094de5d056e3180d2376b7
unitscope-tuned,this-work,user-certified,primary,600,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.759,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37436043206367253,0.6256395679363275,1317,0,1544,2861,1.0,4.581964886696004,0.04131350002717227,0.0004203272094741093,0.0004421571796323817,gated-unitscope,0.75,d420d5d3cbb04144e59da7110c56e41c1ead035f7e094de5d056e3180d2376b7
stable-local-fallback,this-work,user-certified,primary,601,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1755,1755,1.0,1.8319678268577682,0.045939500036183745,0.0003297048449847726,0.000434228388017504,stable-local-fallback,0.0,4c4fa6ed6011b8bb6d1831338ef4a4702981c6bb3cfc708a35372946de5235a5
unitscope-tuned,this-work,user-certified,primary,601,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3754985754985755,0.6245014245014245,1318,0,1564,2882,1.0,2.737812566139683,0.041245399974286556,0.00028967704941345923,0.00038714381319250975,ungated-unitscope-lambda075,0.75,4c4fa6ed6011b8bb6d1831338ef4a4702981c6bb3cfc708a35372946de5235a5
unitscope-tuned,this-work,user-certified,primary,601,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.755,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3754985754985755,0.6245014245014245,1318,0,1564,2882,1.0,2.737812566139683,0.04213219997473061,0.00028967704941345923,0.00038714381319250975,gated-unitscope,0.75,4c4fa6ed6011b8bb6d1831338ef4a4702981c6bb3cfc708a35372946de5235a5
stable-local-fallback,this-work,user-certified,primary,602,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1766,1766,1.0,2.342790943605785,0.04998619999969378,0.00041641433635771955,0.0004402730549836593,stable-local-fallback,0.0,7ec71e6b7da9572a275eebc54a680ea797657db2e54249317e07d14e3c7faf9c
unitscope-tuned,this-work,user-certified,primary,602,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37514156285390715,0.6248584371460929,1325,0,1586,2911,1.0,3.677664521626652,0.043231099960394204,0.0003197216078788147,0.00034561353448510595,ungated-unitscope-lambda075,0.75,7ec71e6b7da9572a275eebc54a680ea797657db2e54249317e07d14e3c7faf9c
unitscope-tuned,this-work,user-certified,primary,602,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.766,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37514156285390715,0.6248584371460929,1325,0,1586,2911,1.0,3.677664521626652,0.04256329999770969,0.0003197216078788147,0.00034561353448510595,gated-unitscope,0.75,7ec71e6b7da9572a275eebc54a680ea797657db2e54249317e07d14e3c7faf9c
stable-local-fallback,this-work,user-certified,primary,603,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1730,1730,1.0,2.1795373091023413,0.045122999988961965,0.0004211704906653778,0.0005054240934033211,stable-local-fallback,0.0,bc7e7e542131df88703b8e2969487257bf795c51777795489e9158f35e9c45c9
unitscope-tuned,this-work,user-certified,primary,603,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,0,1552,2849,1.0,3.5520095912119625,0.040792500018142164,0.0003327668326336661,0.00041863522205619965,ungated-unitscope-lambda075,0.75,bc7e7e542131df88703b8e2969487257bf795c51777795489e9158f35e9c45c9
unitscope-tuned,this-work,user-certified,primary,603,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.73,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.37485549132947976,0.6251445086705202,1297,0,1552,2849,1.0,3.5520095912119625,0.041678500012494624,0.0003327668326336661,0.00041863522205619965,gated-unitscope,0.75,bc7e7e542131df88703b8e2969487257bf795c51777795489e9158f35e9c45c9
stable-local-fallback,this-work,user-certified,primary,604,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.0,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,0,0,1754,1754,1.0,2.30315550428726,0.02956400002585724,0.00038317260670920104,0.00046513008759680797,stable-local-fallback,0.0,15ef7d0035a7bb83aa9296f790484165cc56d00e4e535f68e8143e7e90d9b6db
unitscope-tuned,this-work,user-certified,primary,604,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3751425313568985,0.6248574686431014,1316,0,1570,2886,1.0,3.2914974690057104,0.041467999981250614,0.0003550748235408923,0.00042393586344602156,ungated-unitscope-lambda075,0.75,15ef7d0035a7bb83aa9296f790484165cc56d00e4e535f68e8143e7e90d9b6db
unitscope-tuned,this-work,user-certified,primary,604,140a0dd1da422d7f4684f2aca1204f4026eae00fa709f5904b7fd8c8cd9302f8,0.75,2,2,1.0,0.75,0.5,0.75,0.5,0.75,0.754,0.5,True,0.5,0.49999999999999994,0.5,0.5000000000000001,1.0,1.0,plan-c,1.0,1.0,0.3751425313568985,0.6248574686431014,1316,0,1570,2886,1.0,3.2914974690057104,0.04091560002416372,0.0003550748235408923,0.00042393586344602156,gated-unitscope,0.75,15ef7d0035a7bb83aa9296f790484165cc56d00e4e535f68e8143e7e90d9b6db
