q_user,q_record,rep,exact_q_user,exact_q_record,released_q_user,released_q_record,expected_cell,selected_cell,expected_lambda,selected_lambda,misclassified,selection_record,selection_sha256
0.5,0.25,4,0.5,0.25004962779156326,0.48255533036991477,0.25758860775004955,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep04.json,aeb684619cd97e87aa21b747f08d33f0cc782c390040c0afbe1f35a651b0039f
0.5,0.25,5,0.5,0.25004962779156326,0.4943224095955933,0.28353891568782885,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep05.json,2484c888e7fe4a12b85acb01f7878913f76bd4dc7ab76e6c890995f113b223c8
0.5,0.25,6,0.5,0.25004962779156326,0.4821219919104211,0.2966705437279503,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep06.json,364b26f8c7d990bf722f2eeadd03953fd34ab98b262eb9a5440b7f80f897a3f4
0.5,0.25,7,0.5,0.25004962779156326,0.44641313384225745,0.2558096456252439,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep07.json,356f1c1a27156e19b977ffee772f5b41c2e266de9be2dc36852f5ef9f8c37769
0.5,0.25,8,0.5,0.25004962779156326,0.5277981052941554,0.2561065887467134,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep08.json,910044882b164cd20e764f96c5055c00a2e7c00fa7173da89d1e3baa1b6809de
0.5,0.25,9,0.5,0.25004962779156326,0.5078989884094363,0.25728383068227045,u1-r0,u1-r0,0.0,0.0,False,q050_r025_rep09.json,d338872dff9e49fea1b2dc23dd748be970795b48e2a12bd3368e577cf59e10c5
0.5,0.5,0,0.5,0.5000992555831265,0.4807617114978507,0.5111647698867499,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep00.json,94bc5c11cd297e0aa54fc8186c5495b3bb92b871ed367c2d93fa34e922fc0352
0.5,0.5,1,0.5,0.5000992555831265,0.5014986297963315,0.4929610868149322,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep01.json,84975d005d500e055cea49395e893ddb12a42bdab0df5646be2a165f8f13ee1a
0.5,0.5,2,0.5,0.5000992555831265,0.5117582801208193,0.49907974162885366,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep02.json,7b8673f4778f1207f1c0f9c79d937fee32564597aa766a08f12f44d7b25f4cbf
0.5,0.5,3,0.5,0.5000992555831265,0.4905942261233609,0.5143551769318008,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep03.json,ffc74d8086f110b5156fc02fbb3e9ada83f04fc954e7667acea21cb04757d50e
0.5,0.5,4,0.5,0.5000992555831265,0.509317661042683,0.5201117115480488,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep04.json,b354ab6b93d2a887e91f55a7673a1c25d78b80439882c2ddb5c81332db4d0c88
0.5,0.5,5,0.5,0.5000992555831265,0.5134215099505985,0.5055714533575512,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep05.json,c02d2d3eaedd86c56b4a1278f5740c512c24fa89a6f6c395e931c6fc79be4fcc
0.5,0.5,6,0.5,0.5000992555831265,0.5069896909634498,0.5014983340682112,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep06.json,e7abd936191c68501c579d07e6a1c9baa49171d01e6a348ef3db3b03877e5eec
0.5,0.5,7,0.5,0.5000992555831265,0.5088465881444278,0.5133709274764345,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep07.json,4f13553dfdfa3f36f62242effc94035669c8a1dd8eade92417ca2307d9dd2ecd
0.5,0.5,8,0.5,0.5000992555831265,0.48512262953695034,0.5295998272515453,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep08.json,8a03de0a586ab488957fc455dac9c94eba4d241adf69d405fe7717c8694ac43b
0.5,0.5,9,0.5,0.5000992555831265,0.4949123463272527,0.5054839095419507,u1-r1,u1-r1,0.5,0.5,False,q050_r050_rep09.json,debf55ac3ee6a56546437f36e616b5d3115bdfea4f175a70d8dae450978c2cc1
0.5,0.75,0,0.5,0.7499503722084367,0.5154125678944216,0.7563955009860106,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep00.json,72f1250bf893d5c17321145bbfdd8d150a85ac1e44f8b0d1c1182bba934299ff
0.5,0.75,1,0.5,0.7499503722084367,0.4652989162513969,0.7516215046161292,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep01.json,edd451dd06b255071d8f51dfb33b489124fbd9774e4e147bf8d482645a183598
0.5,0.75,2,0.5,0.7499503722084367,0.5097039495554728,0.7376818074593773,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep02.json,090d76020bdf9aa3aea86483837e6b2b09bb1a1e522884997f6902d52357f7f4
0.5,0.75,3,0.5,0.7499503722084367,0.5137866518639861,0.7391229152361506,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep03.json,28112be8ad4e9b15451cbc9b9bdee34ce7fc5adc8b3249cffc6000c32c644fe7
0.5,0.75,4,0.5,0.7499503722084367,0.4942077465884802,0.7440396995473639,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep04.json,f4238f4ef0d7995e413d970588d01847489fbbe9e617281c0b5563c32723e8f9
0.5,0.75,5,0.5,0.7499503722084367,0.5054679770925536,0.7647177558786405,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep05.json,28000cb8f2d8028d42e107625f810250bb46257c315645d342adf43faf0294d1
0.5,0.75,6,0.5,0.7499503722084367,0.5049966215283379,0.7457948642345988,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep06.json,ae82d73d91cc89554a510eea1b10d84799f77f381ad161dd38ab61c6092931d6
0.5,0.75,7,0.5,0.7499503722084367,0.49085273493396214,0.751026615200187,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep07.json,d92151c12ad1c425897fd1506e91029f17e402cf3e9d9b33d2ac813270f980ae
0.5,0.75,8,0.5,0.7499503722084367,0.47606828853423366,0.7490198933439313,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep08.json,787daf046aad64792db0a4878a6ac2ac3fc410836f00f588b81e487986de54a9
0.5,0.75,9,0.5,0.7499503722084367,0.486776227435019,0.731499516044541,u1-r2,u1-r2,0.5,0.5,False,q050_r075_rep09.json,6419dc7feae67fbad220d3207f0e037901d2ab7d40c9d56e5d2d853ba54b1a26
0.75,0.25,0,0.7507692307692306,0.2500330512956107,0.7645641293425237,0.26565724298340804,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep00.json,bc797d9eac38bcf788e7aaf07e939247b4bbeb03de1357d82b6c1874b053839d
0.75,0.25,1,0.7507692307692306,0.2500330512956107,0.7684920252265645,0.26875445854612123,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep01.json,587b93e8de01f9072b2ad5b85aa2e08e7ca1f7cc31fbe6a03566d2858564f4ee
0.75,0.25,2,0.7507692307692306,0.2500330512956107,0.7469754235185069,0.26111697338674633,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep02.json,eca951f8dd1fffaaf7f0cf6652e4b73bb185dc3aa4185eb6583697e8fe4ed523
0.75,0.25,3,0.7507692307692306,0.2500330512956107,0.7367156728904161,0.25825716099131446,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep03.json,e7ea770f46390b9590be44a65b6878a812f461cf04ec92c27d272e525d760215
0.75,0.25,4,0.7507692307692306,0.2500330512956107,0.7408994922262522,0.24766031739820488,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep04.json,033bee04547790729976f05e6cf471ccd8d7b8d063ef1229a7fc4020a888ecd8
0.75,0.25,5,0.7507692307692306,0.2500330512956107,0.7547763586118956,0.23988552793731654,u2-r0,u2-r0,0.9,0.9,False,q075_r025_rep05.json,cacb3315f52cc4df918efc96e8e27617435d1710496a315690552721aee1477b
