dataset,threshold,entity_id,deleted_records,touched_components,touched_records,deleted_group_tags,inserted_group_tags,witnessed_wur,changed_surviving_records
febrl2,0.72,84,1,1,1,1,0,1,0
febrl2,0.72,3876,1,1,1,1,0,1,0
febrl2,0.72,1711,1,1,1,1,0,1,0
febrl2,0.72,1215,1,1,1,1,0,1,0
febrl2,0.72,3424,1,1,1,1,0,1,0
febrl2,0.72,2800,1,1,1,1,0,1,0
febrl2,0.72,2960,3,1,3,1,0,1,0
febrl2,0.72,2232,1,1,1,1,0,1,0
febrl2,0.72,805,1,1,2,1,1,2,1
febrl2,0.72,1704,1,1,1,1,0,1,0
febrl2,0.72,3367,1,1,1,1,0,1,0
febrl2,0.72,2211,4,1,4,1,0,1,0
febrl2,0.72,3236,3,1,3,1,0,1,0
febrl2,0.72,3588,3,1,3,1,0,1,0
febrl2,0.72,3074,1,1,1,1,0,1,0
febrl2,0.72,3875,3,1,3,1,0,1,0
febrl2,0.72,3932,3,1,3,1,0,1,0
febrl2,0.72,2626,1,1,1,1,0,1,0
febrl2,0.72,1198,1,1,1,1,0,1,0
febrl2,0.72,21,1,1,2,1,1,2,1
febrl2,0.72,1398,1,1,2,1,1,2,1
febrl2,0.72,672,3,1,4,1,1,2,1
febrl2,0.72,3041,1,1,1,1,0,1,0
febrl2,0.72,2874,2,1,2,1,0,1,0
febrl2,0.72,2129,1,1,1,1,0,1,0
febrl2,0.72,582,1,1,1,1,0,1,0
febrl2,0.72,1256,1,1,1,1,0,1,0
febrl2,0.72,1556,1,1,1,1,0,1,0
febrl2,0.72,2014,1,1,1,1,0,1,0
febrl2,0.72,1695,1,1,1,1,0,1,0
febrl2,0.72,1761,1,1,1,1,0,1,0
febrl2,0.72,3639,1,1,1,1,0,1,0
febrl2,0.72,3141,1,1,1,1,0,1,0
febrl2,0.72,3630,1,1,1,1,0,1,0
febrl2,0.72,1308,1,1,1,1,0,1,0
febrl2,0.72,819,5,1,5,1,0,1,0
febrl2,0.72,3251,1,1,1,1,0,1,0
febrl2,0.72,2763,1,1,2,1,1,2,1
febrl2,0.72,1204,1,1,1,1,0,1,0
febrl2,0.72,2022,1,1,1,1,0,1,0
febrl2,0.72,877,1,1,1,1,0,1,0
febrl2,0.72,2151,6,1,6,1,0,1,0
febrl2,0.72,3738,2,1,2,1,0,1,0
febrl2,0.72,2540,1,1,1,1,0,1,0
febrl2,0.72,1,1,1,1,1,0,1,0
febrl2,0.72,451,1,1,1,1,0,1,0
febrl2,0.72,1942,1,1,1,1,0,1,0
febrl2,0.72,649,3,1,3,1,0,1,0
febrl2,0.72,449,1,1,1,1,0,1,0
febrl2,0.72,44,5,1,5,1,0,1,0
febrl2,0.72,128,1,1,1,1,0,1,0
febrl2,0.72,3710,3,1,3,1,0,1,0
febrl2,0.72,2899,1,1,1,1,0,1,0
febrl2,0.72,1298,3,1,3,1,0,1,0
febrl2,0.72,3425,1,1,1,1,0,1,0
febrl2,0.72,1114,1,1,1,1,0,1,0
febrl2,0.72,2718,1,1,1,1,0,1,0
febrl2,0.72,3322,4,1,4,1,0,1,0
febrl2,0.72,1562,1,1,1,1,0,1,0
febrl2,0.72,3280,1,1,1,1,0,1,0
febrl2,0.72,2624,2,2,2,2,0,2,0
febrl2,0.72,50,5,1,6,1,1,2,1
febrl2,0.72,1377,1,1,1,1,0,1,0
febrl2,0.72,1039,1,1,1,1,0,1,0
febrl2,0.72,1015,1,1,1,1,0,1,0
febrl2,0.72,412,1,1,1,1,0,1,0
febrl2,0.72,3146,1,1,1,1,0,1,0
febrl2,0.72,3066,1,1,1,1,0,1,0
