"family","dataset","dirichlet_alpha","seed","method","round","metric_name","metric_value"
"credible-accuracy-epsilon8-v1","femnist","","128","naive-recalibrated-2c","40","user_macro_accuracy","0.23153750000000003"
"credible-accuracy-epsilon8-v1","femnist","","128","naive-recalibrated-2c","50","user_macro_accuracy","0.24805624999999998"
"credible-accuracy-epsilon8-v1","femnist","","128","unitscope-lambda-sweep","0","user_macro_accuracy","0.09731875000000001"
"credible-accuracy-epsilon8-v1","femnist","","128","unitscope-lambda-sweep","10","user_macro_accuracy","0.0984375"
"credible-accuracy-epsilon8-v1","femnist","","128","unitscope-lambda-sweep","20","user_macro_accuracy","0.119575"
"credible-accuracy-epsilon8-v1","femnist","","128","unitscope-lambda-sweep","30","user_macro_accuracy","0.1098875"
"credible-accuracy-epsilon8-v1","femnist","","128","unitscope-lambda-sweep","40","user_macro_accuracy","0.19834375"
"credible-accuracy-epsilon8-v1","femnist","","128","unitscope-lambda-sweep","50","user_macro_accuracy","0.16961874999999998"
"credible-accuracy-epsilon8-v1","femnist","","128","stable-local-fallback","0","user_macro_accuracy","0.09731875000000001"
"credible-accuracy-epsilon8-v1","femnist","","128","stable-local-fallback","10","user_macro_accuracy","0.07665"
"credible-accuracy-epsilon8-v1","femnist","","128","stable-local-fallback","20","user_macro_accuracy","0.119575"
"credible-accuracy-epsilon8-v1","femnist","","128","stable-local-fallback","30","user_macro_accuracy","0.1027"
"credible-accuracy-epsilon8-v1","femnist","","128","stable-local-fallback","40","user_macro_accuracy","0.13294375"
"credible-accuracy-epsilon8-v1","femnist","","128","stable-local-fallback","50","user_macro_accuracy","0.118325"
"credible-accuracy-epsilon8-v1","femnist","","129","unitscope-lambda-sweep","0","user_macro_accuracy","0.09328125"
"credible-accuracy-epsilon8-v1","femnist","","129","unitscope-lambda-sweep","10","user_macro_accuracy","0.13609375"
"credible-accuracy-epsilon8-v1","femnist","","129","unitscope-lambda-sweep","20","user_macro_accuracy","0.12953125"
"credible-accuracy-epsilon8-v1","femnist","","129","unitscope-lambda-sweep","30","user_macro_accuracy","0.0965625"
"credible-accuracy-epsilon8-v1","femnist","","129","unitscope-lambda-sweep","40","user_macro_accuracy","0.16140625"
"credible-accuracy-epsilon8-v1","femnist","","129","unitscope-lambda-sweep","50","user_macro_accuracy","0.32765625"
"credible-accuracy-epsilon8-v1","femnist","","129","stable-local-fallback","0","user_macro_accuracy","0.09328125"
"credible-accuracy-epsilon8-v1","femnist","","129","stable-local-fallback","10","user_macro_accuracy","0.1196875"
"credible-accuracy-epsilon8-v1","femnist","","129","stable-local-fallback","20","user_macro_accuracy","0.1146875"
"credible-accuracy-epsilon8-v1","femnist","","129","stable-local-fallback","30","user_macro_accuracy","0.09703125"
"credible-accuracy-epsilon8-v1","femnist","","129","stable-local-fallback","40","user_macro_accuracy","0.25453125"
"credible-accuracy-epsilon8-v1","femnist","","129","stable-local-fallback","50","user_macro_accuracy","0.201875"
"credible-accuracy-epsilon8-v1","femnist","","129","naive-recalibrated-2c","0","user_macro_accuracy","0.09328125"
"credible-accuracy-epsilon8-v1","femnist","","129","naive-recalibrated-2c","10","user_macro_accuracy","0.1484375"
"credible-accuracy-epsilon8-v1","femnist","","129","naive-recalibrated-2c","20","user_macro_accuracy","0.1146875"
"credible-accuracy-epsilon8-v1","femnist","","129","naive-recalibrated-2c","30","user_macro_accuracy","0.18"
"credible-accuracy-epsilon8-v1","femnist","","129","naive-recalibrated-2c","40","user_macro_accuracy","0.22578125"
"credible-accuracy-epsilon8-v1","femnist","","129","naive-recalibrated-2c","50","user_macro_accuracy","0.32609375"
"credible-accuracy-epsilon8-v1","femnist","","129","handle-only-drop-residual","0","user_macro_accuracy","0.09328125"
"credible-accuracy-epsilon8-v1","femnist","","129","handle-only-drop-residual","10","user_macro_accuracy","0.14171875"
"credible-accuracy-epsilon8-v1","femnist","","129","handle-only-drop-residual","20","user_macro_accuracy","0.13015625"
"credible-accuracy-epsilon8-v1","femnist","","129","handle-only-drop-residual","30","user_macro_accuracy","0.09671875"
"credible-accuracy-epsilon8-v1","femnist","","129","handle-only-drop-residual","40","user_macro_accuracy","0.16640625"
"credible-accuracy-epsilon8-v1","femnist","","129","handle-only-drop-residual","50","user_macro_accuracy","0.33890625"
"credible-accuracy-epsilon8-v1","synthea","","120","unitscope-lambda-sweep","0","patient_or_user_auprc","0.183951051334389"
"credible-accuracy-epsilon8-v1","synthea","","120","unitscope-lambda-sweep","10","patient_or_user_auprc","0.1742173497637201"
"credible-accuracy-epsilon8-v1","synthea","","120","unitscope-lambda-sweep","20","patient_or_user_auprc","0.17810139545264617"
"credible-accuracy-epsilon8-v1","synthea","","120","unitscope-lambda-sweep","30","patient_or_user_auprc","0.1860011622613017"
"credible-accuracy-epsilon8-v1","synthea","","120","unitscope-lambda-sweep","40","patient_or_user_auprc","0.1964068346908398"
"credible-accuracy-epsilon8-v1","synthea","","120","unitscope-lambda-sweep","50","patient_or_user_auprc","0.20635764522903483"
"credible-accuracy-epsilon8-v1","synthea","","120","handle-only-drop-residual","0","patient_or_user_auprc","0.183951051334389"
"credible-accuracy-epsilon8-v1","synthea","","120","handle-only-drop-residual","10","patient_or_user_auprc","0.175021614056184"
