dataset,replicate,seed,method,metric_name,metric_value,residual_norm_share,residual_clip_saturation_rate,residual_only_subgroup_metric,residual_only_subgroup_people,residual_only_subgroup_records,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,residual_clip_fraction,clip_fraction,noise_multiplier,epsilon,delta,rounds,run_id,config_hash,manifest_hash
femnist,10,110,handle-only-drop-residual,user_macro_accuracy,0.18046875,0.0,,0.18125,100,3200,0.255078125,0.255078125,0.0,0.0,0.9999999856948852,9.214933748786253,4.0,1e-05,,eeca60d55d105623f78d6404ddab5db4acbcebf296d469f0bb4587653a86f652,1108c021e5149961249402d5691007ca1f81b4a5a626ceb11acdac26fbdb6401,331f87bb59f6327b6c70347a6a6926d20ddf07d6feada301e5a66c98b2eb33c5
femnist,10,110,unitscope-lambda-sweep,user_macro_accuracy,0.17140625,0.04047778124477757,1.0,0.1709375,100,3200,1.0,0.255078125,0.744921875,0.9999999904632568,0.9999999797344208,9.214933748786253,4.0,1e-05,,f3a2888b21094573540ec7cbce7d10f566f1472eb64249a35f263463d7362310,1108c021e5149961249402d5691007ca1f81b4a5a626ceb11acdac26fbdb6401,331f87bb59f6327b6c70347a6a6926d20ddf07d6feada301e5a66c98b2eb33c5
femnist,11,111,naive-recalibrated-2c,user_macro_accuracy,0.12671875,0.31373796423057415,1.0,0.1228125,100,3200,1.0,0.25109375,0.74890625,0.9999999904632568,0.999953464269638,9.214933748786253,4.0,1e-05,,902171cc882b8e21b2cb1f687d54bd21d1db86f676c7671768f6f14b0e6db163,33dad503f035d1940adeb657da14b1a1c23ebbb815d352afe260d416cbaa6f15,55bb9d570c2d7c1e735dcc1aa3bc864b32a7dc48d2362612e9277b4a02e4f520
femnist,11,111,unitscope-lambda-sweep,user_macro_accuracy,0.12078125,0.04409914985563693,1.0,0.116875,100,3200,1.0,0.25109375,0.74890625,0.9999999904632568,0.9999999761581421,9.214933748786253,4.0,1e-05,,aa2f7c21566b7cc0677a5b43e36654707c6a076fb7da84bd42a5fd7d894a1598,33dad503f035d1940adeb657da14b1a1c23ebbb815d352afe260d416cbaa6f15,55bb9d570c2d7c1e735dcc1aa3bc864b32a7dc48d2362612e9277b4a02e4f520
femnist,11,111,handle-only-drop-residual,user_macro_accuracy,0.12078125,0.0,,0.116875,100,3200,0.25109375,0.25109375,0.0,0.0,0.9999999845027924,9.214933748786253,4.0,1e-05,,b5dbee20544d94acc38a7bff98023565c573d83a948ef78cc7ca17679703dda0,33dad503f035d1940adeb657da14b1a1c23ebbb815d352afe260d416cbaa6f15,55bb9d570c2d7c1e735dcc1aa3bc864b32a7dc48d2362612e9277b4a02e4f520
femnist,11,111,stable-local-fallback,user_macro_accuracy,0.1115625,1.0,1.0,0.1084375,100,3200,1.0,0.0,1.0,0.9999999976158143,0.9999999976158143,9.214933748786253,4.0,1e-05,,e4504bdb84297f3e1eee1e3a471c2cb4d1c5e441830b98664af78533d260b6e2,33dad503f035d1940adeb657da14b1a1c23ebbb815d352afe260d416cbaa6f15,55bb9d570c2d7c1e735dcc1aa3bc864b32a7dc48d2362612e9277b4a02e4f520
femnist,12,112,naive-recalibrated-2c,user_macro_accuracy,0.12825625000000002,0.31715872608436535,1.0,0.1271875,100,3200,1.0,0.252734375,0.747265625,0.9999999940395355,0.9999519062042236,9.214933748786253,4.0,1e-05,,1dd9750a927e85074e87b47642e257807befef6ec1f468c533d5400460d080ea,52e8ccd091a093116b08337fc7cbcf11912e0224a3dab6e64089c28a964acf6f,9d4594efca3236f8431090cfb4347e222c7e3afabf72376351353b3ea4655edc
femnist,12,112,stable-local-fallback,user_macro_accuracy,0.11751875,1.0,1.0,0.11625,100,3200,1.0,0.0,1.0,0.9999999952316284,0.9999999952316284,9.214933748786253,4.0,1e-05,,39278ca13527ee0919bbc3e5bc25be1053eaffc2756be426f57ab43b172bfd54,52e8ccd091a093116b08337fc7cbcf11912e0224a3dab6e64089c28a964acf6f,9d4594efca3236f8431090cfb4347e222c7e3afabf72376351353b3ea4655edc
femnist,12,112,unitscope-lambda-sweep,user_macro_accuracy,0.137225,0.040339161876129126,1.0,0.1359375,100,3200,1.0,0.252734375,0.747265625,0.9999999940395355,0.9999999821186065,9.214933748786253,4.0,1e-05,,843ee618af008059b347b54506d65066c120cffc72700c45de0ae6fd395ed5c2,52e8ccd091a093116b08337fc7cbcf11912e0224a3dab6e64089c28a964acf6f,9d4594efca3236f8431090cfb4347e222c7e3afabf72376351353b3ea4655edc
femnist,12,112,handle-only-drop-residual,user_macro_accuracy,0.14019375,0.0,,0.1403125,100,3200,0.252734375,0.252734375,0.0,0.0,0.999999989271164,9.214933748786253,4.0,1e-05,,eb2c6df0620fa10924af4d9674140069c52a742359f608c40fbfec1944b4b878,52e8ccd091a093116b08337fc7cbcf11912e0224a3dab6e64089c28a964acf6f,9d4594efca3236f8431090cfb4347e222c7e3afabf72376351353b3ea4655edc
femnist,13,113,handle-only-drop-residual,user_macro_accuracy,0.11328125,0.0,,0.1171875,100,3200,0.249140625,0.249140625,0.0,0.0,0.9999999928474427,9.214933748786253,4.0,1e-05,,1aebcce2c986d23310d24a7de8923ec0c6ef0881b635054ab398906ac54ddd56,0a6368d981d75da2f4412f5d2b9fcff5c1aa6839c7fedc8ba9e546b83b83d5ce,7b0d839c11f616abf5c93776c034ec4eed29a25fc3819b71e73052ed2ac81fca
femnist,13,113,unitscope-lambda-sweep,user_macro_accuracy,0.11265625,0.04483236357436569,1.0,0.1175,100,3200,1.0,0.249140625,0.750859375,0.9999999904632568,0.9999999821186065,9.214933748786253,4.0,1e-05,,7b356a3e12a7a3a98643994c0d92a52dd2509c6380d34eb268ebba626fb3234c,0a6368d981d75da2f4412f5d2b9fcff5c1aa6839c7fedc8ba9e546b83b83d5ce,7b0d839c11f616abf5c93776c034ec4eed29a25fc3819b71e73052ed2ac81fca
femnist,13,113,naive-recalibrated-2c,user_macro_accuracy,0.0815625,0.31621317648654773,1.0,0.085,100,3200,1.0,0.249140625,0.750859375,0.9999999904632568,0.9999999821186065,9.214933748786253,4.0,1e-05,,b5e8a65eb4e766f6dc7e2e52af689df1b0665e63ed43d71021f8def35e3663df,0a6368d981d75da2f4412f5d2b9fcff5c1aa6839c7fedc8ba9e546b83b83d5ce,7b0d839c11f616abf5c93776c034ec4eed29a25fc3819b71e73052ed2ac81fca
femnist,13,113,stable-local-fallback,user_macro_accuracy,0.12015625,1.0,1.0,0.12375,100,3200,1.0,0.0,1.0,0.9999999940395355,0.9999999940395355,9.214933748786253,4.0,1e-05,,d434033fdeeab32856590b339ef1803b99d0ee299e2ac2c08c9b4c62371c1ea5,0a6368d981d75da2f4412f5d2b9fcff5c1aa6839c7fedc8ba9e546b83b83d5ce,7b0d839c11f616abf5c93776c034ec4eed29a25fc3819b71e73052ed2ac81fca
