method,implementation_provenance,privacy_semantics,comparison_tier,seed,config_hash,lambda,H,B,C,q_user,q_record_given_handle,realized_q_user,realized_q_record_given_handle,overlap_probability,realized_overlap,gradient_correlation,realized_pairwise_cosine_mean,realized_pairwise_cosine_p10,realized_pairwise_cosine_p50,realized_pairwise_cosine_p90,certified_sensitivity,structural_sensitivity_bound,certificate_type,noise_sensitivity,effective_record_utilization,partial_handle_record_fraction,residual_record_fraction,clip_fraction,aggregate_snr,wall_time_seconds,deterministic_distortion,noisy_aggregate_mse
unitscope-tuned,this-work,user-certified,primary,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.083410149901307,0.0535093000071356,0.0002817095259276,0.0002871015571227
naive-recalibrated-2c,this-work,user-certified,primary,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,2.0,2.0,plan-delta,2.0,1.0,0.2470039946737683,0.7529960053262317,0.781071242849714,1.8094991887638816,0.0623846999951638,0.0001708890116999,0.0002596987163451
full-identity-reference,oracle,oracle-assumption,full-identity-reference,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,5.294312486165919,0.5108883999928366,0.0,1.5688479693467358e-05
non-private-reference,oracle,non-private,diagnostic,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.0597441000136313,0.0001239313031695,0.0001239313031695
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,4,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.502,0.0,5.071128886446146e-19,-3.0704605524789466e-17,0.0,3.4694469519536136e-17,,2.0,unsafe-diagnostic,1.0,1.0,0.2470039946737683,0.7529960053262317,0.781071242849714,3.618998377527763,0.0735503000032622,0.0001708890116999,0.000199605384329
stable-local-fallback,this-work,user-certified,primary,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.0438977417474122,0.0514259000046877,0.0003175052038099,0.000297374743711
handle-only-drop-residual,this-work,user-certified,primary,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,0.2497507477567298,0.2497507477567298,0.0,0.171,2.7977259066323,0.082328900010907,0.0002476337142288,0.0002273795657983
unitscope-equal,this-work,user-certified,primary,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.1428571428571428,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.2497507477567298,0.7502492522432702,1.0,1.2665207438397876,0.0692300999944564,0.0002902001718022,0.0002685134013655
unitscope-tuned,this-work,user-certified,primary,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.0438977417474122,0.0572467999882064,0.0003175052038099,0.000297374743711
naive-recalibrated-2c,this-work,user-certified,primary,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,2.0,2.0,plan-delta,2.0,1.0,0.2497507477567298,0.7502492522432702,0.7840020844189682,1.769787470675994,0.0686581000045407,0.0001462583483626,0.0001699479419177
full-identity-reference,oracle,oracle-assumption,full-identity-reference,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,4.939058273830325,0.3416433999955188,0.0,2.072019138122691e-05
non-private-reference,oracle,non-private,diagnostic,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,,,non-private,0.0,1.0,0.0,0.0,0.0,inf,0.0613441999885253,0.0001601577057687,0.0001601577057687
naive-claimed-c,this-work,unsafe-diagnostic,diagnostic,5,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.5045,0.0,1.3663741154931293e-18,-2.775557561562892e-17,0.0,3.4694469519536136e-17,,2.0,unsafe-diagnostic,1.0,1.0,0.2497507477567298,0.7502492522432702,0.7840020844189682,3.539574941351988,0.0613336999958846,0.0001462583483626,0.0001373829537589
stable-local-fallback,this-work,user-certified,primary,6,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.509,0.0,7.097370606525936e-19,-2.827599265842195e-17,0.0,3.001071613439888e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.2515884215013988,0.0513489999866578,0.0003095094446425,0.0002957190441592
handle-only-drop-residual,this-work,user-certified,primary,6,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,1.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.509,0.0,7.097370606525936e-19,-2.827599265842195e-17,0.0,3.001071613439888e-17,1.0,1.0,plan-c,1.0,0.25,0.25,0.0,0.171,3.00653521037432,0.0583923999947728,0.0003139081138769,0.0003124555221887
unitscope-equal,this-work,user-certified,primary,6,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.1428571428571428,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.509,0.0,7.097370606525936e-19,-2.827599265842195e-17,0.0,3.001071613439888e-17,1.0,1.0,plan-c,1.0,1.0,0.25,0.75,1.0,1.3996198393000312,0.078897399987909,0.0002964724638067,0.0002846061105303
unitscope-tuned,this-work,user-certified,primary,6,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,0.0,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.509,0.0,7.097370606525936e-19,-2.827599265842195e-17,0.0,3.001071613439888e-17,1.0,1.0,plan-c,1.0,1.0,0.0,1.0,1.0,1.2515884215013988,0.0536826999887125,0.0003095094446425,0.0002957190441592
naive-recalibrated-2c,this-work,user-certified,primary,6,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.509,0.0,7.097370606525936e-19,-2.827599265842195e-17,0.0,3.001071613439888e-17,2.0,2.0,plan-delta,2.0,1.0,0.25,0.75,0.7845074083701585,1.866105608689816,0.0625212000013561,0.000193249414509,0.0002255776556868
full-identity-reference,oracle,oracle-assumption,full-identity-reference,6,c9666d92f54946afd0d7939364a7c039fd43c592f9b82d70e359b08e301f2cf4,,1,6,1.0,0.5,0.5,0.5,0.5,0.5,0.509,0.0,7.097370606525936e-19,-2.827599265842195e-17,0.0,3.001071613439888e-17,1.0,1.0,plan-c,1.0,1.0,0.0,0.0,1.0,6.134257238903734,0.3633234000008087,0.0,1.285091852884027e-05
